deck_id,deck_title,unit_no,unit_id,unit_title_japanese,unit_title_english,assets_deck_path,assets_src_csv,status,card_no,旧シート名,新シート名（正式名）,,,,,Master
s01,記述統計,1,s01_u01,データと統計の役割,Data and the Role of Statistics,,,,,,,,,,,
s01,記述統計,2,s01_u02,度数分布表とヒストグラム,Frequency Tables and Histograms,,,,,,,,,,,
s01,記述統計,3,s01_u03,代表値（平均・中央値・最頻値）,Measures of Central Tendency,,,,,,,,,,,
s01,記述統計,4,s01_u04,散布度（分散・標準偏差・四分位）,Measures of Dispersion,,,,,,,,,,,
s01,記述統計,5,s01_u05,分布の形と標準化,Distribution Shape and Standardization,,,,,,,,,,,
s02,確率,1,s02_u01,確率の基本概念,Basic Concepts of Probability,,,,,,,,,,,
s02,確率,2,s02_u02,確率の加法・乗法法則,Addition and Multiplication Rules,,,,,,,,,,,
s02,確率,3,s02_u03,条件付き確率,Conditional Probability,,,,,,,,,,,
s02,確率,4,s02_u04,独立性と確率の性質,Independence and Properties of Probability,,,,,,,,,,,
s02,確率,5,s02_u05,確率モデルの考え方,Probability Models,,,,,,,,,,,
s03,確率分布,1,s03_u01,確率変数と分布,Random Variables and Distributions,,,,,,,,,,,
s03,確率分布,2,s03_u02,期待値と分散,Expected Value and Variance,,,,,,,,,,,
s03,確率分布,3,s03_u03,代表的な離散分布（二項分布など）,Discrete Distributions,,,,,,,,,,,
s03,確率分布,4,s03_u04,正規分布と標準正規分布,Normal Distribution,,,,,,,,,,,
s03,確率分布,5,s03_u05,確率分布の応用と近似,Applications and Approximations,,,,,,,,,,,
s04,推定,1,s04_u01,母集団と標本,Population and Sample,,,,,,,,,,,
s04,推定,2,s04_u02,点推定と推定量,Point Estimation,,,,,,,,,,,
s04,推定,3,s04_u03,標本分布と中心極限定理,Sampling Distributions and CLT,,,,,,,,,,,
s04,推定,4,s04_u04,区間推定と信頼区間,Confidence Intervals,,,,,,,,,,,
s04,推定,5,s04_u05,推定の精度と標本サイズ,Precision and Sample Size,,,,,,,,,,,
s05,仮説検定,1,s05_u01,仮説検定の考え方,Hypothesis Testing Framework,,,,,,,,,,,
s05,仮説検定,2,s05_u02,検定統計量と分布,Test Statistics and Distributions,,,,,,,,,,,
s05,仮説検定,3,s05_u03,p値と有意水準,p-values and Significance Levels,,,,,,,,,,,
s05,仮説検定,4,s05_u04,代表的な仮説検定,t-test and Chi-square Test,,,,,,,,,,,
s05,仮説検定,5,s05_u05,検定の誤りと検出力,Errors and Power of Tests,,,,,,,,,,,
s06,回帰・相関,1,s06_u01,相関係数と散布図,Correlation and Scatterplots,,,,,,,,,,,
s06,回帰・相関,2,s06_u02,単回帰分析の基礎,Simple Linear Regression,,,,,,,,,,,
s06,回帰・相関,3,s06_u03,回帰係数の推定と解釈,Estimation and Interpretation of Coefficients,,,,,,,,,,,
s06,回帰・相関,4,s06_u04,回帰モデルの評価,Evaluation of Regression Models,,,,,,,,,,,
s06,回帰・相関,5,s06_u05,相関と因果の違い,Correlation vs Causation,,,,,,,,,,,
